session,area,curv,gmvolume,thickness,wmvolume
1,1160.8616666666667,0.10631666666666667,6741.4783333333335,3.931706666666667,
2,1755.96875,0.10917708333333334,8483.71875,3.7439479166666665,
3,3103.9912280701756,0.11487719298245613,10730.440789473683,2.9062653508771934,
4,3123.107954545455,0.11277840909090908,10716.133522727272,2.9008977272727274,
5,3188.2327586206893,0.11322413793103449,10820.245689655174,2.887314655172414,
